act_symbol,date,when
A,2/18/20,After market close
A,5/21/20,After market close
A,8/18/20,After market close
A,11/23/20,After market close
A,2/16/21,After market close
A,5/25/21,After market close
A,8/17/21,After market close
A,11/22/21,After market close
A,2/22/22,After market close
A,5/24/22,After market close
A,8/16/22,After market close
A,11/21/22,After market close
A,2/28/23,After market close
A,5/23/23,After market close
A,8/15/23,After market close
A,11/20/23,After market close
A,2/27/24,After market close
A,5/29/24,After market close
A,8/21/24,After market close
A,11/25/24,After market close
A,2/26/25,After market close
A,5/28/25,After market close
AA,4/22/20,After market close
AA,7/15/20,After market close
AA,10/14/20,After market close
AA,1/20/21,After market close
AA,4/15/21,After market close
AA,7/15/21,After market close
AA,10/14/21,After market close
AA,1/19/22,After market close
AA,4/20/22,After market close
AA,7/20/22,After market close
AA,10/19/22,After market close
AA,1/18/23,After market close
AA,4/19/23,After market close
AA,7/19/23,After market close
AA,10/18/23,After market close
AA,1/17/24,After market close
AA,4/17/24,After market close
AA,7/17/24,After market close
AA,10/16/24,After market close
AA,1/22/25,After market close
AA,4/16/25,After market close
AACG,11/30/22,After market close
AACG,3/30/23,After market close
AACG,5/11/23,
AACG,8/10/23,
AACG,11/13/23,After market close
AACG,3/26/24,After market close
AACG,5/14/24,After market close
AACG,8/8/24,
AACG,3/25/25,After market close
AACG,5/13/25,
AACT,3/18/25,
AACT,6/11/25,
AADI,11/9/21,
AADI,3/10/22,
AADI,5/12/22,Before market open
AADI,8/10/22,Before market open
AADI,11/9/22,Before market open
AADI,3/28/23,Before market open
AADI,5/10/23,Before market open
AADI,8/9/23,Before market open
AADI,11/8/23,Before market open
AADI,3/13/24,Before market open
AADI,5/8/24,Before market open
AADI,11/6/24,Before market open
AADI,3/12/25,
AAGR,8/19/24,
AAGR,8/26/24,
AAGR,9/2/24,
AAGR,9/9/24,
AAGR,9/16/24,
AAGR,9/23/24,
AAGR,9/30/24,
AAGR,5/19/25,
AAIC,11/5/20,
AAIC,2/16/21,Before market open
AAIC,7/29/21,
AAIC,11/9/21,After market close
AAIC,3/1/22,
AAIC,5/5/22,
AAIC,8/9/22,After market close
AAIC,11/14/22,After market close
AAIC,3/29/23,
AAIC,5/11/23,
AAIC,8/15/23,
AAIC,11/13/23,
AAL,1/23/20,Before market open
AAL,4/30/20,Before market open
AAL,7/23/20,Before market open
AAL,10/22/20,Before market open
AAL,1/28/21,Before market open
AAL,4/22/21,Before market open
AAL,7/22/21,Before market open
AAL,10/21/21,Before market open
AAL,1/20/22,Before market open
AAL,4/21/22,Before market open
AAL,7/21/22,Before market open
AAL,10/20/22,Before market open
AAL,1/26/23,Before market open
AAL,4/27/23,Before market open
AAL,7/20/23,Before market open
AAL,10/19/23,Before market open
AAL,1/25/24,Before market open
AAL,4/25/24,Before market open
AAL,7/25/24,Before market open
AAL,10/24/24,Before market open
AAL,1/23/25,Before market open
AAL,4/24/25,Before market open
AAMC,3/23/23,Before market open
AAMC,5/15/23,Before market open
AAMC,8/14/23,After market close
AAMC,12/27/23,
AAMC,3/28/24,
AAMC,8/12/24,
AAME,11/9/22,
AAME,3/24/23,
AAME,6/28/23,
AAME,8/11/23,
AAME,11/14/23,
AAME,8/13/24,
AAME,11/11/24,
AAME,5/13/25,
AAMI,2/6/25,Before market open
AAMI,5/1/25,Before market open
AAN,2/20/20,Before market open
AAN,5/7/20,Before market open
AAN,7/29/20,Before market open
AAN,10/29/20,Before market open
AAN,2/23/21,Before market open
AAN,4/27/21,Before market open
AAN,7/27/21,Before market open
AAN,10/26/21,Before market open
AAN,2/23/22,After market close
AAN,4/26/22,Before market open
AAN,7/26/22,Before market open
AAN,10/24/22,After market close
AAN,3/1/23,After market close
AAN,4/24/23,After market close
AAN,7/31/23,After market close
AAN,10/23/23,After market close
AAN,2/26/24,After market close
AAN,5/6/24,After market close
AAN,8/5/24,After market close
